iso_code,country,2020_population,density_sq_km,growth_rate,world_%
SYR,Syria,"17,500,658",105/sq_km,5.96%,0.24%
CHL,Chile,"19,116,201",25/sq_km,0.20%,0.24%
KAZ,Kazakhstan,"18,776,707",7/sq_km,1.11%,0.24%
ROU,Romania,"19,237,691",80/sq_km,-0.50%,0.24%
GTM,Guatemala,"17,915,568",171/sq_km,1.83%,0.23%
ECU,Ecuador,"17,643,054",65/sq_km,1.26%,0.23%
SEN,Senegal,"16,743,927",90/sq_km,2.66%,0.22%
TCD,Chad,"16,425,864",14/sq_km,2.95%,0.22%
NLD,Netherlands,"17,134,872",411/sq_km,0.22%,0.22%
KHM,Cambodia,"16,718,965",95/sq_km,1.31%,0.22%
SOM,Somalia,"15,893,222",26/sq_km,2.95%,0.21%
ZWE,Zimbabwe,"14,862,924",39/sq_km,1.59%,0.19%
GIN,Guinea,"13,132,795",56/sq_km,2.73%,0.17%
RWA,Rwanda,"12,952,218",516/sq_km,2.44%,0.17%
BEN,Benin,"12,123,200",114/sq_km,2.68%,0.16%
BDI,Burundi,"11,890,784",454/sq_km,3.01%,0.16%
TUN,Tunisia,"11,818,619",74/sq_km,0.93%,0.15%
BOL,Bolivia,"11,673,021",11/sq_km,1.35%,0.15%
HTI,Haiti,"11,402,528",421/sq_km,1.20%,0.15%
BEL,Belgium,"11,589,623",382/sq_km,0.31%,0.15%
SSD,South Sudan,"11,193,725",19/sq_km,2.08%,0.15%
CUB,Cuba,"11,326,616",103/sq_km,-0.10%,0.14%
DOM,Dominican Republic,"10,847,910",227/sq_km,0.94%,0.14%
CZE,Czech Republic,"10,708,981",136/sq_km,0.11%,0.13%
GRC,Greece,"10,423,054",78/sq_km,-0.52%,0.13%
JOR,Jordan,"10,203,134",115/sq_km,0.31%,0.13%
AZE,Azerbaijan,"10,139,177",119/sq_km,0.75%,0.13%
HND,Honduras,"9,904,607",91/sq_km,1.57%,0.13%
SWE,Sweden,"10,099,265",23/sq_km,0.58%,0.13%
PRT,Portugal,"10,196,709",110/sq_km,-0.27%,0.13%
ARE,United Arab Emirates,"9,890,402",121/sq_km,0.91%,0.13%
TJK,Tajikistan,"9,537,645",70/sq_km,2.13%,0.13%
HUN,Hungary,"9,660,351",103/sq_km,-0.29%,0.12%
BLR,Belarus,"9,449,323",45/sq_km,-0.11%,0.12%
PNG,Papua New Guinea,"8,947,024",20/sq_km,1.90%,0.12%
AUT,Austria,"9,006,398",108/sq_km,0.26%,0.11%
ISR,Israel,"8,655,535",430/sq_km,1.51%,0.11%
CHE,Switzerland,"8,654,622",213/sq_km,0.67%,0.11%
TGO,Togo,"8,278,724",153/sq_km,2.39%,0.11%
SRB,Serbia,"8,737,371",98/sq_km,-0.51%,0.11%
SLE,Sierra Leone,"7,976,983",116/sq_km,2.03%,0.10%
HKG,Hong Kong,"7,496,981","6,888/sq_km",0.68%,0.10%
